1969;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;igniventris;Sjoerd Mayer;Bolivia;Cotapata Trail (behind the petrol station), La Paz;-16.283;-67.883;Song in flight
20463;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;Songs
20475;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Fusagasuga ( Vereda San Miguel);;;Song
24131;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Parque Natural Chingaza;;;flight call
30925;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Andrew Spencer;Ecuador;Reserva Tapichalaca, Valladolid, Zamora-Chinchipe;-4.4959;-79.1323;calls
34333;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;ignicrissa;David Geale;Peru;Monte Potrero, Huanuco;-9.9051;-76.0651;
36106;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;ignicrissa;Fabrice Schmitt;Peru;Las Palmas;-6.7128;-77.852;song
36121;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;igniventris;Fabrice Schmitt;Peru;Pillahuata, Cusco;-13.1667;-71.5834;call
39203;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Parque Nacional Natural Chingaza;;;Songs
39204;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Parque Nacional Natural Chingaza;;;Songs
39205;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Parque Nacional Natural Chingaza;;;Songs
47294;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;igniventris;Niels Krabbe;Peru;Cuzco: 'Inca Trail' between Wynnawaynu and Machu Picchu;-13.1667;-72.5501;calls perched flock
53609;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;El Bosque, Reserva Zona Alta Rio Quindio, Quindio;;;Song
53610;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;El Bosque, Reserva Zona Alta Rio Quindio, Quindio;;;Song
53611;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;El Bosque, Reserva Zona Alta Rio Quindio, Quindio;;;Song
53615;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;El Bosque, Reserva Zona Alta Rio Quindio, Quindio;;;Calls
54268;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Finca Indostan, sobre Vereda La Cascada, Anzoategui, Tolima;;;Song
54269;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Finca Indostan, sobre Vereda La Cascada, Anzoategui, Tolima;;;Song
54270;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Finca Indostan, sobre Vereda La Cascada, Anzoategui, Tolima;;;Song
54271;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Finca Indostan, sobre Vereda La Cascada, Anzoategui, Tolima;;;Song
56048;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57322;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Call  and  song
57323;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Call  and  song
57324;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Call  and  song
57325;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Call
57326;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57327;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
62344;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;erythrotus;Andrew Spencer;Ecuador;Yanacocha reserve, Pichincha;-0.1667;-78.5834;song and calls
62345;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;erythrotus;Andrew Spencer;Ecuador;Yanacocha reserve, Pichincha;-0.1667;-78.5834;calls
63122;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Joseph Tobias and Nathalie Seddon;Peru;Paucartambo, Manu Road (c. 2500 m asl);;;song
65639;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;ignicrissa?;Willem-Pier Vellinga;Peru;Santa Barbara, Sector San Martin, PN Yanachaga-Chemillen, Pasco;-10.339;-75.63;song
74781;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Daniel Lane;Ecuador;15 km W Tufiño, Carchi;0.815;-77.992;call
74814;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Daniel Lane;Ecuador;15 km W Tufiño, Carchi;0.815;-77.992;song, calls
86288;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;songs
86433;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Parque Natural Sumapaz, Laguna de Chisaca;;;songs
88574;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;David Geale;Peru;Wayqecha, Manu Road, Cusco;-13.1745;-71.5878;Call
91816;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Aurora Alta_Bogota;;;songs
91817;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Aurora Alta_Bogota;;;songs
94393;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;call
96370;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Yair G Molina - Martínez;Colombia;Colombia/ Tolima /Santa Isabel/La Estrella;4.7434;-75.2395;
97753;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;igniventris;Andrew Spencer;Peru;Apalla-Andamarca Road, Junin;-11.5453;-74.8109;song and call
